character	code_hex	rank	freq
셰	EA05 EA68	907	5636
팎	EA06 EA68	908	5635
섞	EA07 EA68	909	5606
낀	EA08 EA68	910	5588
릇	EA09 EA68	911	5564
컸	EA0A EA68	912	5532
쏘	EA00 EA62	913	5503
〈	EA01 EA62	914	5488
옛	EA02 EA62	915	5484
솟	EA03 EA62	916	5465
셉	EA04 EA62	917	5439
턱	EA05 EA62	918	5418
잖	EA06 EA62	919	5364
꿀	EA07 EA62	920	5332
싫	EA08 EA62	921	5321
쏠	EA09 EA62	922	5261
닿	EA0A EA62	923	5259
깜	EA00 EA63	924	5250
릎	EA01 EA63	925	5228
냄	EA02 EA63	926	5219
뭐	EA03 EA63	927	5216
뉘	EA04 EA63	928	5203
꼈	EA05 EA63	929	5199
곱	EA06 EA63	930	5162
렷	EA07 EA63	931	5136
멕	EA08 EA63	932	5111
앓	EA09 EA63	933	5107
렁	EA0A EA63	934	5092
롬	EA00 EA64	935	5089
쁨	EA01 EA64	936	5066
팡	EA02 EA64	937	5056
쓴	EA03 EA64	938	4992
핸	EA04 EA64	939	4985
맑	EA05 EA64	940	4970
딱	EA06 EA64	941	4939
떡	EA07 EA64	942	4936
휩	EA08 EA64	943	4927
웰	EA09 EA64	944	4923
짚	EA0A EA64	945	4892
빵	EA00 EA65	946	4868
댐	EA01 EA65	947	4828
븐	EA02 EA65	948	4823
벅	EA03 EA65	949	4813
훔	EA04 EA65	950	4793
뚫	EA05 EA65	951	4776
랩	EA06 EA65	952	4767
캔	EA07 EA65	953	4754
둑	EA08 EA65	954	4743
칫	EA09 EA65	955	4705
괜	EA0A EA65	956	4696
햇	EA00 EA70	957	4689
숍	EA01 EA70	958	4605
땀	EA02 EA70	959	4600
ㄱ	EA03 EA70	960	4562
긋	EA04 EA70	961	4544
곰	EA05 EA70	962	4465
낚	EA06 EA70	963	4406
뤘	EA07 EA70	964	4403
곁	EA08 EA70	965	4366
딘	EA09 EA70	966	4348
잦	EA0A EA70	967	4337
뭉	EA00 EA66	968	4236
킴	EA01 EA66	969	4192
쩍	EA02 EA66	970	4181
쩌	EA03 EA66	971	4173
윗	EA04 EA66	972	4127
넉	EA05 EA66	973	4100
흙	EA06 EA66	974	4074
켈	EA07 EA66	975	4058
렛	EA08 EA66	976	4037
몫	EA09 EA66	977	4028
낯	EA0A EA66	978	3996
젖	EA00 EA67	979	3971
팝	EA01 EA67	980	3948
씻	EA02 EA67	981	3944
탠	EA03 EA67	982	3937
꼴	EA04 EA67	983	3936
펙	EA05 EA67	984	3935
뚝	EA06 EA67	985	3891
닛	EA07 EA67	986	3883
녔	EA08 EA67	987	3828
볍	EA09 EA67	988	3813
삽	EA0A EA67	989	3812
